District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Tygerberg,70474291,Building Plan > 500m2,9229,633432,11 TYGERVALLEI STREET   PAROW,PAROW,Work Commenced,Residential,Private,Block of Flats,Flats,,"1,735","14,255,550.00",10 - 50 million,25,No,25/09/2019,11/02/2020,24/03/2020,,2019,PAROW
Tygerberg,70451249,Building Plan < 500m2,25830,648869,31 KRUSKAL AVENUE   BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations:  Middestad Mall,0,"14,252,784.00",10 - 50 million,1,No,24/05/2019,13/06/2019,09/06/2020,,2019,BELLVILLE CBD
Tygerberg,70109965,Building Plan > 500m2,40756,25127102,,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,Storage Buildings,"1,781","13,948,870.00",10 - 50 million,1,No,21/05/2014,15/12/2014,19/12/2014,01/02/2019,2014,BELLVILLE
Tygerberg,70357705,Building Plan > 500m2,6928,662153,28 PETRUSA STREET   BELGRAVIA -BELLVILLE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Town House/Flats/Other Residen,Flats,,"1,969","13,941,540.00",10 - 50 million,16,No,01/09/2017,17/07/2018,17/09/2020,,2017,BELLVILLE
Tygerberg,70438735,Building Plan > 500m2,40870,77535390,,BELLVILLE,Work Commenced,Non Residential,Private,Office/Bank Space,Offices,,"1,958","13,821,000.00",10 - 50 million,1,No,09/01/2019,14/03/2019,28/11/2019,,2019,BELLVILLE
Tygerberg,70391303,Building Plan < 500m2,6300,635612,69 DE LA HAYE AVENUE  STIKLAND HOSPITAAL,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"Extension, Internal Alterations, Covered walk way, Wall",214,"13,697,427.50",10 - 50 million,1,No,14/02/2018,02/03/2018,15/08/2018,,2018,BELLVILLE
Tygerberg,70023689,Building Plan > 500m2,34525,707479,"1 ADAMO VILLAS, A ROAD  OAKGLEN",BELLVILLE,Work Complete,Residential,Private,Block of Flats,Other,"""Block of Flats, Wall""","2,315","13,528,200.00",10 - 50 million,32,No,13/06/2013,14/08/2013,22/10/2013,24/03/2015,2013,BELLVILLE
Tygerberg,70021038,Building Plan > 500m2,31675,635607,2C TIENIE MEYER BY-PASS  TRANSNET MARSHALLING YARD,BELLVILLE,Work Commenced,Non Residential,Public,All Other Space,Other,COURTESY PLAN - Station Addition,"1,653","12,876,870.00",10 - 50 million,1,No,29/10/2012,17/11/2014,24/03/2015,,2012,BELLVILLE CBD
Tygerberg,70130839,Building Plan < 500m2,24517,1035968,51 BRIARDENE STREET  KLIPKOP,PAROW,Certificate Issued,Residential,Private,Block of Flats,Flats,,"2,921","12,767,960.00",10 - 50 million,55,No,22/05/2008,03/10/2008,09/10/2008,28/12/2010,2008,PAROW
Tygerberg,70310876,Building Plan > 500m2,39713,979972,14 BLANCKENBERG STREET  BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to UWC Bellville Medical Centre,0,"12,641,200.00",10 - 50 million,1,No,27/02/2017,06/06/2017,22/04/2019,,2017,BELLVILLE CBD
Tygerberg,70309559,Building Plan > 500m2,24745,54598652,70A CONNAUGHT ROAD  PAROW VALLEY,PAROW,Work Commenced,Non Residential,Private,Industrial Warehouse,Other,"New Factory, Offices, Carport, Wall","2,050","12,591,150.00",10 - 50 million,1,No,26/08/2016,06/02/2017,12/09/2018,,2016,PAROW
Tygerberg,70295443,Building Plan > 500m2,39713,979972,14 BLANCKENBERG STREET  BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"Internal Alterations, Lift Shaft, Loading Bay",126,"12,544,860.00",10 - 50 million,1,No,09/06/2016,04/08/2016,12/08/2016,,2016,BELLVILLE CBD
Northern,70042667,Building Plan > 500m2,32140,654918,1 SPORTICA CRESCENT   TYGERVALLEY,BELLVILLE,Work Complete,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"2,091","11,563,230.00",10 - 50 million,1,No,13/12/2013,14/02/2014,,11/06/2015,2013,TYGERVALLEY
Tygerberg,70486477,Building Plan > 500m2,40907,77535420,3 DAIRY STREET   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,All Other Space,Other,"New Laboratory, Wall","1,600","11,429,380.00",10 - 50 million,1,No,09/12/2019,26/03/2020,23/06/2020,,2019,STIKLAND INDUSTRIA
Tygerberg,70029331,Building Plan > 500m2,15739,639268,130 DURBAN ROAD  OAKDALE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,"""Additions, Alterations""","2,526","11,240,700.00",10 - 50 million,1,No,29/07/2010,22/09/2010,04/10/2010,18/02/2013,2010,BELLVILLE
Tygerberg,70519533,Building Plan > 500m2,40903,77535430,6 BUHAN STREET   STIKLAND INDUSTRIA,BELLVILLE,Amendment Client,Non Residential,Private,Industrial Warehouse,Other,Warehouse and Offices to Industrial Building,"1,550","11,152,050.00",10 - 50 million,1,No,16/10/2020,,,,2020,STIKLAND INDUSTRIA
Tygerberg,70006296,Building Plan > 500m2,11044,618467,108 JOUBERT STREET  PAROW VALLEY,PAROW,Work Complete,Residential,Private,Block of Flats,Other,Flats & Wall,"2,628","11,108,170.00",10 - 50 million,48,No,25/06/2010,20/10/2010,16/11/2010,21/05/2014,2010,PAROW
Tygerberg,70080359,Building Plan < 500m2,7706,632456,,PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,"""Additions, Alterations""",327,"11,014,770.00",10 - 50 million,1,No,21/06/2010,14/04/2011,20/05/2011,24/07/2012,2010,PAROW
Northern,70224666,Building Plan > 10 000m2,35781,658253,,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,,Office Extension,"17,175","11,000,000.00",10 - 50 million,1,No,03/09/2002,29/01/2003,03/02/2003,27/09/2005,2002,TYGER NORTHERN SUBURBS
Tygerberg,70440489,Building Plan > 500m2,40871,77535388,,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"1,538","10,892,350.00",10 - 50 million,1,No,14/01/2019,14/03/2019,21/05/2019,,2019,BELLVILLE
Tygerberg,70392591,Building Plan > 500m2,40185,58543607,39B ELSIES RIVER HALT ROAD   RIVERTON ELSIES RIVER,GOODWOOD,Amendment Client,Additions and Alterations,Private,Town House/Flats/Other Residen,Flats,,"1,291","10,839,610.00",10 - 50 million,1,No,30/04/2018,,,,2018,GOODWOOD
Tygerberg,70014271,Building Plan > 500m2,24602,14310912,,PAROW,Work Complete,Non Residential,Private,All Other Space,Other,2 x Lecture Theatres,"1,762","10,765,820.00",10 - 50 million,1,No,21/12/2012,08/03/2013,01/04/2013,27/03/2015,2012,PAROW
Tygerberg,70322632,Building Plan > 500m2,24809,55095410,4A BARRY HERTZOG ROAD  PAROW GOLF COURSE,PAROW,Certificate Issued,Non Residential,Public,All Other Space,Other,Offices:  Collections Branch for Solid Waste Management,"1,323","10,663,590.00",10 - 50 million,1,No,16/11/2016,03/07/2017,23/04/2018,11/06/2019,2016,PAROW
Tygerberg,70258458,Building Plan < 500m2,35194,657782,1A RAGLAN AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Additions and Alterations to Car Dealership,475,"10,657,600.00",10 - 50 million,1,No,07/09/2015,16/09/2015,18/01/2017,28/08/2017,2015,BELLVILLE
Northern,70332520,Building Plan > 500m2,37821,659313,2 KOELENHOF STRAAT   VAN RIEBEECKSHOF,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"Shops Extension, Internal Alterations, Covered Area","1,396","9,733,920.00",5 - 10 milllion,1,No,29/09/2017,09/12/2019,14/01/2021,,2017,TYGER NORTHERN SUBURBS
Northern,70003254,Building Plan < 500m2,37827,659315,26 VAN RIEBEECKSHOF WEG  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Library and Conference Room to,164,"9,621,580.00",5 - 10 milllion,1,No,03/02/2014,12/09/2014,22/06/2015,24/08/2015,2014,TYGER NORTHERN SUBURBS
Tygerberg,70375319,Building Plan > 500m2,2040,625299,202 FRANS CONRADIE DRIVE  PAROW GOLF COURSE,PAROW,Work Commenced,Residential,Private,Other Residential Buildings,Other,Ajax Soccer Academy Hostel and Swimming Pool,"1,388","9,567,760.00",5 - 10 milllion,1,No,01/11/2017,12/03/2018,16/04/2018,,2017,PAROW
Tygerberg,70483572,Building Plan > 500m2,6970,662181,27 PETRUSA STREET   BELGRAVIA -BELLVILLE,BELLVILLE,Work Commenced,Residential,Private,Block of Flats,Other,Block of Flats,"1,157","9,516,020.00",5 - 10 milllion,20,No,02/07/2020,01/09/2020,17/11/2020,,2020,BELLVILLE
Tygerberg,70046769,Building Plan < 500m2,14298,620162,,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"""Additions,  Alts to Existing Em",441,"9,435,390.00",5 - 10 milllion,1,No,06/06/2013,17/07/2013,04/03/2019,,2013,PAROW
Tygerberg,70278209,Building Plan > 500m2,10300,634302,3 1ST STREET  BOSTON,BELLVILLE,Work Complete,Non Residential,Private,Office/Bank Space,Offices,,"1,059","9,266,250.00",5 - 10 milllion,1,No,06/01/2016,04/04/2016,31/01/2017,31/01/2017,2016,BELLVILLE
Tygerberg,70154548,Building Plan > 500m2,25286,648317,70 OLD PAARL ROAD  GROENVALLEI,BELLVILLE,Work Complete,Residential,Private,Block of Flats,Other,18 x Flats,"1,105","9,223,359.64",5 - 10 milllion,18,No,22/07/2014,11/11/2014,22/12/2014,17/10/2016,2014,BELLVILLE
Tygerberg,70349984,Building Plan > 500m2,24552,18819757,83 SMITH ROAD  CHURCHILL ESTATE,PAROW,Certificate Issued,Residential,Private,Block of Flats,Flats,,"1,109","9,167,890.00",5 - 10 milllion,18,No,01/06/2017,06/09/2017,01/02/2018,28/05/2018,2017,PAROW
Northern,70107326,Building Plan > 500m2,37916,659324,47 VAN RIEBEECKSHOF WEG  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Non Residential,Private,Shopping Space,Other,Church,"1,505","9,105,250.00",5 - 10 milllion,1,No,05/11/2012,01/02/2013,04/02/2013,18/10/2013,2012,TYGER NORTHERN SUBURBS
Northern,70354835,Building Plan > 500m2,37468,659289,3 BLANC DE NOIR STREET  OUDE WESTHOF,BELLVILLE,Certificate Issued,Residential,Private,Town House,Other,Town House Development,"5,953","9,000,000.00",5 - 10 milllion,49,No,17/04/2000,02/10/2001,05/03/2002,26/11/2008,2000,TYGER NORTHERN SUBURBS
Tygerberg,70010052,Building Plan > 500m2,21212,550039,,GOODWOOD,Work Commenced,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"2,375","8,977,500.00",5 - 10 milllion,1,No,06/08/2008,06/10/2008,19/04/2012,,2008,GOODWOOD
Tygerberg,70024806,Building Plan > 500m2,38771,805953,,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Factory Extension,,"1,650","8,910,000.00",5 - 10 milllion,1,No,19/02/2007,08/12/2011,09/05/2013,,2007,BELLVILLE
Northern,70341125,Building Plan > 500m2,39169,793787,,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,,"1,017","8,898,750.00",5 - 10 milllion,1,No,17/03/2017,15/09/2017,04/10/2017,18/05/2018,2017,TYGER NORTHERN SUBURBS
Northern,70019160,Building Plan < 500m2,23974,647116,,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"8,898,550.00",5 - 10 milllion,1,No,18/05/2012,12/07/2012,06/09/2012,,2012,TYGER NORTHERN SUBURBS
Tygerberg,70520962,Building Plan > 500m2,23392,700660,1 JAN SMUTS ROAD   BEACONVALE,PAROW,Application Approved,Additions and Alterations,Private,Non Residential,Other,Additions and Internal Alterations to Warehouse,400,"8,658,000.00",5 - 10 milllion,0,No,26/10/2020,09/03/2021,,,2020,BEACONVALE INDUSTRIA
Tygerberg,70152693,Building Plan > 500m2,24600,16069965,,PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,Shop Extension,,"1,019","8,609,882.50",5 - 10 milllion,1,No,01/07/2014,09/10/2014,06/01/2015,24/06/2019,2014,PAROW
Northern,70292666,Building Plan > 500m2,37597,696781,21 SHIRAZ STREET   OUDE WESTHOF,BELLVILLE,Certificate Issued,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall","1,203","8,539,180.00",5 - 10 milllion,1,No,23/05/2016,15/08/2016,19/10/2016,23/09/2020,2016,TYGER NORTHERN SUBURBS
Tygerberg,70494235,Building Plan > 500m2,5363,630403,1 DU TOIT ROAD   CLAMHALL,PAROW,Amendment Client,Residential,Private,Block of Flats,Other,"Block of flats, Wall","1,023","8,516,630.00",5 - 10 milllion,14,No,07/05/2020,,,,2020,PAROW
Tygerberg,70330565,Building Plan > 500m2,11044,618467,108 JOUBERT STREET  PAROW VALLEY,PAROW,Work Commenced,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Flats Additions,"1,018","8,357,780.00",5 - 10 milllion,20,No,24/05/2017,25/08/2017,15/02/2018,,2017,PAROW
Tygerberg,70099275,Building Plan > 500m2,14496,620362,48 ATHLONE STREET  KLIPKOP,PAROW,Certificate Issued,Residential,Private,Other Residential Buildings,Other,Student Residence,"1,251","8,334,800.00",5 - 10 milllion,1,No,17/04/2012,17/09/2012,17/07/2012,07/02/2013,2012,PAROW
Northern,70020039,Building Plan > 500m2,39224,793340,3 HOWICK SLOT  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Other,Office Ground Floor,"1,088","8,301,440.00",5 - 10 milllion,1,No,13/03/2013,12/06/2013,12/07/2013,03/12/2014,2013,TYGERVALLEY
Northern,70130852,Building Plan < 500m2,39279,958884,3 NIAGARA WEG  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Roof Covering,"2,193","8,289,540.00",5 - 10 milllion,1,No,29/07/2008,11/08/2009,18/02/2010,07/06/2010,2008,TYGERVALLEY
Tygerberg,70359709,Building Plan > 500m2,15955,639443,10 HADLEY STREET  GROENVALLEI,BELLVILLE,Work Commenced,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,New Apartments on Existing Building,"1,009","8,283,890.00",5 - 10 milllion,10,No,29/08/2017,30/01/2018,13/03/2018,,2017,BELLVILLE
Tygerberg,70222307,Building Plan > 500m2,9834,633883,9 NORTON STREET  BEACONVALE,PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,Factory Extension,,"1,192","8,272,720.00",5 - 10 milllion,1,No,04/03/2015,01/04/2015,20/05/2015,26/05/2015,2015,BEACONVALE INDUSTRIA
Tygerberg,70315001,Building Plan > 500m2,25271,648305,6 LA BELLE ROAD  STIKLAND INDUSTRIA,BELLVILLE,Work Complete,Additions and Alterations,Private,Non Residential,Factory Extension,,"1,075","8,222,500.00",5 - 10 milllion,1,No,20/10/2016,08/12/2016,30/01/2017,26/03/2018,2016,STIKLAND INDUSTRIA
Northern,70537123,Building Plan > 500m2,1462,638272,47 MAHOGANY CRESCENT   LOEVENSTEIN,BELLVILLE,Amendment Client,Residential,Private,Dwelling Houses,Dwelling,,"1,160","8,189,600.00",5 - 10 milllion,1,No,08/03/2021,,,,2021,TYGER NORTHERN SUBURBS
Northern,70023190,Building Plan > 500m2,32139,654916,51 WILLIE VAN SCHOOR AVENUE  TYGERVALLEY,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"1,480","8,184,400.00",5 - 10 milllion,1,No,13/11/2013,22/01/2014,27/01/2014,30/05/2017,2013,TYGERVALLEY
Tygerberg,70466357,Building Plan > 500m2,40899,77535404,,BELLVILLE,Application Approved,Additions and Alterations,Private,Non Residential,Other,"Warehouse Extension, Fence","1,156","8,161,740.00",5 - 10 milllion,1,No,23/03/2020,28/05/2020,,,2020,BELLVILLE
Tygerberg,70262348,Building Plan > 500m2,9719,633816,127 ALEXANDRA ROAD  PAROW,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Shop Extension,,926,"8,102,500.00",5 - 10 milllion,1,No,05/05/2017,11/10/2017,11/03/2019,,2017,PAROW
Tygerberg,70011912,Building Plan > 500m2,20939,644007,6 FARAD STREET  STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"1,819","8,094,550.00",5 - 10 milllion,1,No,22/12/2010,18/03/2011,04/05/2011,,2010,STIKLAND INDUSTRIA
Tygerberg,70172091,Building Plan > 500m2,22913,627595,59 HANNES LOUW DRIVE  PAROW NORTH,PAROW,Certificate Issued,Non Residential,Private,Schools/Hospitals/Libraries,Other,New Day Clinic and Internal Alterations,961,"8,038,386.67",5 - 10 milllion,1,No,21/10/2014,05/02/2015,11/03/2015,11/09/2015,2014,PAROW
Tygerberg,70354346,Building Plan > 500m2,3713,629064,155 FRANS CONRADIE DRIVE   OOSTERZEE-BELLVILLE,PAROW,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Addition to Frailcare Centre,"1,140","8,014,200.00",5 - 10 milllion,1,No,23/10/2017,30/07/2018,05/07/2019,11/08/2020,2017,PAROW
Tygerberg,70050829,Minor Works (Circulated),15348,621042,,PAROW,Work Commenced,Other Approvals,Private,Other,Other,Fire Safety Upgrade,0,"8,000,000.00",5 - 10 milllion,1,No,31/01/2013,08/05/2013,05/03/2019,,2013,PAROW
Northern,70057799,Minor Works (Non Circulated),276,1049306,,CAPE RD,Certificate Issued,Other Approvals,Private,Other,Other,Reservoir,0,"8,000,000.00",5 - 10 milllion,1,No,13/12/2012,03/01/2013,30/04/2013,13/06/2014,2012,TYGER NORTHERN SUBURBS
Northern,70004970,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Toilets,0,"7,786,614.00",5 - 10 milllion,1,No,09/03/2009,21/07/2010,22/07/2010,10/07/2015,2009,TYGERVALLEY
Tygerberg,70406358,Building Plan > 500m2,35194,657782,1A RAGLAN AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Addition to Existing Car Dealership,620,"7,765,000.00",5 - 10 milllion,1,No,23/05/2018,07/08/2018,27/12/2018,24/10/2019,2018,BELLVILLE
Tygerberg,70041659,Building Plan < 500m2,23182,699486,11 JEAN SIMONIS STREET  PAROW EAST,PAROW,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"7,581,000.00",5 - 10 milllion,1,No,25/03/2013,22/04/2013,30/04/2014,05/04/2017,2013,PAROW EAST
Tygerberg,70285933,Building Plan > 500m2,6300,635612,69 DE LA HAYE AVENUE  STIKLAND HOSPITAAL,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"7,540,000.00",5 - 10 milllion,1,No,05/04/2016,20/09/2016,22/02/2017,29/03/2017,2016,BELLVILLE
Northern,70473366,Building Plan > 500m2,1125,634948,69 POUSSION STREET   LOEVENSTEIN,BELLVILLE,Work Commenced,Residential,Private,Dwelling Houses,Dwelling,,"1,230","7,537,540.00",5 - 10 milllion,1,No,12/12/2019,06/02/2020,11/02/2020,,2019,TYGER NORTHERN SUBURBS
Tygerberg,70457577,Building Plan > 500m2,10903,634795,40A CARL VAN ASWEGEN    HARDEKRAALTJIE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,"Student Residence, Internal Alterations",897,"7,528,820.00",5 - 10 milllion,1,No,17/05/2019,02/09/2019,03/10/2019,14/01/2020,2019,BELLVILLE
Tygerberg,70106727,Building Plan < 500m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"7,481,108.00",5 - 10 milllion,1,No,15/01/2013,03/06/2013,02/10/2013,14/11/2013,2013,PAROW EAST
Tygerberg,70326914,Building Plan > 500m2,12249,619336,98 RISSIK STREET  BEACONVALE,PAROW,Certificate Issued,Non Residential,Private,Industrial Warehouse,Factory,,"1,040","7,311,510.00",5 - 10 milllion,1,No,02/03/2017,09/05/2017,22/09/2017,02/11/2018,2017,BEACONVALE INDUSTRIA
Tygerberg,70024181,Building Plan < 500m2,33996,722848,4 EPPING CIRCLE  ELSIES RIVER INDUSTRIA,GOODWOOD,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension,  Internal A",360,"7,300,400.00",5 - 10 milllion,1,No,04/10/2013,17/12/2013,27/01/2014,18/07/2014,2013,ELSIES RIVER INDUSTRIA
Tygerberg,70322990,Building Plan > 500m2,6300,635612,69 DE LA HAYE AVENUE  STIKLAND HOSPITAAL,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Stikland Hospital,0,"7,254,000.00",5 - 10 milllion,1,No,01/12/2016,19/12/2016,22/02/2017,29/03/2017,2016,STIKLAND INDUSTRIA
Tygerberg,70105695,Building Plan > 500m2,18687,641966,27 STRAND ROAD  BELGRAVIA -BELLVILLE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,"""Warehouse Extension, Internal A","1,362","7,196,880.00",5 - 10 milllion,1,No,12/07/2012,18/10/2012,21/11/2012,24/01/2014,2012,BELLVILLE
Tygerberg,70028245,Building Plan > 500m2,10777,634722,16 MIKE PIENAAR BOULEVARD  OOSTERZEE,BELLVILLE,Work Commenced,Non Residential,Public,Hospitals/Clinics,Other,COURTESY PLAN: Karl Bremer Hospital Bulk Storage,"1,068","7,166,280.00",5 - 10 milllion,1,No,14/03/2014,28/04/2015,10/06/2015,,2014,BELLVILLE
Tygerberg,70020372,Building Plan < 500m2,21693,644677,32 VOORTREKKER ROAD  BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"7,159,000.00",5 - 10 milllion,1,No,28/01/2013,16/04/2013,03/06/2013,,2013,BELLVILLE CBD
